0,1,2,3,4,5,6,7,8
60.1,-0.781564079,-1.309510742,0.886082693,-1.371068694,1.625621064,-0.260363581,-0.108409091,-0.600432131
61.3,-0.781564079,-1.309510742,0.630832534,-0.622260013,1.70218284,1.302381038,0.650430548,1.351281169
61.5,-0.781564079,-1.309510742,0.849618384,-0.622260013,0.416625425,-0.017471957,-0.455326042,0.168437789
61.6,-0.781564079,-1.309510742,0.448510993,-1.745473034,1.908843096,1.544189437,1.427009167,0.982346761
61.6,-0.781564079,-1.309510742,-0.645418258,-0.996664354,-0.262440784,-0.334850361,-0.013152868,-0.119486665
62.1,-0.781564079,-1.309510742,-0.244310866,-0.622260013,1.544264427,3.12078674,2.590966535,1.740358387
62.1,-0.781564079,-1.309510742,0.557903918,-0.247855673,0.973086883,0.949612912,1.095337407,0.868455047
62.1,-0.781564079,-1.309510742,0.740225459,1.249761688,0.443507049,-0.306381799,-0.371973021,-0.156171723
62.4,-0.781564079,-1.309510742,0.412046684,-0.996664354,-0.546622504,1.346511414,1.41974477,0.652807402
62.7,-0.781564079,-1.309510742,0.484975301,-0.247855673,0.665499526,-0.681725445,-0.484265148,-0.679073419
63,-0.781564079,-1.309510742,-1.411168733,-0.622260013,0.223105364,0.071189509,-0.297971896,-0.531197601
64.1,-0.781564079,-1.309510742,-0.681882566,-2.494281715,-0.255290832,-0.10657238,-0.353475477,-0.268545982
62.8,-0.781564079,-1.309510742,-1.010061341,-0.247855673,0.608538904,-0.486224956,-0.251763581,-0.364617011
63,-0.781564079,-1.309510742,0.557903918,0.126548667,-0.149037365,1.346511414,1.41974477,0.652807402
63.1,-0.781564079,-1.309510742,-0.025525016,-0.247855673,-0.586757834,-0.681725445,-0.484265148,-0.679073419
63.1,-0.781564079,-1.309510742,-0.280775174,-0.247855673,-0.302831043,-0.409824948,-0.676512158,-0.298956119
63.3,-0.781564079,-1.309510742,-1.629954583,-0.247855673,-0.758516017,-0.692330085,-0.586424479,-0.890224055
63.6,-0.781564079,-1.309510742,0.047403601,-0.247855673,-0.450928659,1.302381038,0.650430548,1.351281169
63.6,-0.781564079,-1.309510742,-0.827739799,-0.247855673,-0.380541606,-0.017471957,-0.455326042,0.168437789
63.9,-0.781564079,-1.309510742,-1.119454266,-0.247855673,-0.257262546,1.544189437,1.427009167,0.982346761
64.1,-0.781564079,-1.309510742,-2.869741066,-0.247855673,-0.815476638,-0.334850361,-0.013152868,-0.119486665
65,-0.781564079,-1.309510742,0.849618384,-0.247855673,0.064185229,0.420657397,0.779527804,0.7362705
65.2,-0.781564079,-1.309510742,-1.411168733,-0.247855673,-0.750378785,0.071189509,-0.297971896,-0.531197601
66.5,-0.781564079,-1.309510742,0.886082693,-1.745473034,-0.166125551,-1.34863154,-0.95090981,-0.93793065
83.3,1.702220069,-1.309510742,2.052940559,1.249761688,1.481569971,3.12078674,2.590966535,1.740358387
84.2,1.702220069,-1.309510742,0.010939293,1.249761688,0.017775885,1.346511414,1.41974477,0.652807402
84.5,1.702220069,-1.309510742,2.636369493,1.249761688,0.377441525,-1.009918894,-1.481687617,-1.707178262
84.6,1.702220069,-1.309510742,0.266189451,-0.247855673,-0.096526791,1.544189437,1.427009167,0.982346761
84.9,1.702220069,-1.309510742,-0.134917941,1.249761688,0.07310906,-0.062221911,-0.390503118,1.14088882
85.4,1.702220069,-1.309510742,0.886082693,1.249761688,-0.494218732,0.037880286,0.349805941,0.909215766
85.9,1.702220069,-1.309510742,-0.864204108,1.249761688,-0.448080628,1.302381038,0.650430548,1.351281169
86,1.702220069,-1.309510742,-0.025525016,1.249761688,0.287760666,0.420657397,0.779527804,0.7362705
86.2,1.702220069,-1.309510742,-0.317239483,1.249761688,0.536388783,-0.334850361,-0.013152868,-0.119486665
86.3,1.702220069,-1.309510742,2.563440876,1.249761688,-0.772756172,-0.681725445,-0.484265148,-0.679073419
86.4,1.702220069,-1.309510742,-1.702883199,-0.247855673,-0.695978001,0.949612912,1.095337407,0.868455047
86.4,1.702220069,-1.309510742,-1.192382883,-0.247855673,-0.815476638,0.071189509,-0.297971896,-0.531197601
61.3,-0.781564079,-1.309510742,0.193260834,1.249761688,5.678034234,-1.152396856,-1.203947994,-1.104994356
62.2,-0.781564079,-1.309510742,0.995475618,1.249761688,-0.151885396,-1.291941128,-1.122955434,-1.633259609
63,-0.781564079,-1.309510742,-0.280775174,-0.247855673,0.301584443,1.544189437,1.427009167,0.982346761
63.2,-0.781564079,-1.309510742,0.448510993,-3.243090395,2.336344428,-0.10657238,-0.353475477,-0.268545982
62.1,-0.781564079,-0.528878407,1.688297476,-1.745473034,0.711068023,1.028251225,0.458784483,-0.527895721
63,-0.781564079,-0.528878407,-1.155918574,-0.247855673,0.128127842,1.302381038,0.650430548,1.351281169
63.1,-0.781564079,-0.528878407,-0.499561024,1.249761688,0.07310906,-0.062221911,-0.390503118,1.14088882
63.1,-0.781564079,-0.528878407,0.193260834,-0.247855673,1.150669997,1.346511414,1.41974477,0.652807402
63.2,-0.781564079,-0.528878407,0.156796526,1.249761688,-0.111696513,-0.682773747,-0.273291818,-0.679211612
63.7,-0.781564079,-0.528878407,-0.900668416,-0.247855673,-0.673075084,1.544189437,1.427009167,0.982346761
63.9,-0.781564079,-0.528878407,-0.244310866,0.500953007,-0.118278629,-1.34863154,-0.95090981,-0.93793065
64.1,-0.781564079,-0.528878407,0.484975301,-0.247855673,-0.526032294,0.890729945,0.901149616,0.961532851
64.6,-0.781564079,-0.528878407,-1.046525649,-0.247855673,-0.180365706,-1.291941128,-1.122955434,-1.633259609
65.1,-0.781564079,-0.528878407,-0.827739799,-0.247855673,-0.815476638,-1.009918894,-1.481687617,-1.707178262
65.9,-0.781564079,-0.528878407,-0.536025333,1.249761688,-0.186631375,-0.681725445,-0.484265148,-0.679073419
66,-0.781564079,-0.528878407,0.156796526,-0.247855673,-0.769908141,-0.319074334,-0.080127616,0.276049027
